Grupo,Seleção A (Favorito),Vitória A,Empate,Vitória B,Seleção B (Desafiante)
Grupo A,México,77.0%,16.8%,6.2%,África do Sul
Grupo A,México,46.2%,26.5%,27.3%,Coreia do Sul
Grupo A,México,55.1%,24.9%,20.0%,Tcheca
Grupo A,Coreia do Sul,70.9%,19.6%,9.5%,África do Sul
Grupo A,Coreia do Sul,45.5%,26.6%,27.9%,Tcheca
Grupo A,Tcheca,64.0%,22.3%,13.8%,África do Sul
Grupo B,Suíça,52.1%,25.5%,22.3%,Canadá
Grupo B,Suíça,81.4%,14.4%,4.2%,Catar
Grupo B,Suíça,51.9%,25.6%,22.6%,Bósnia e Herzegovina
Grupo B,Bósnia e Herzegovina,36.7%,27.2%,36.1%,Canadá
Grupo B,Bósnia e Herzegovina,73.3%,18.6%,8.2%,Catar
Grupo B,Canadá,73.1%,18.6%,8.3%,Catar
Grupo C,Brasil,61.0%,23.2%,15.8%,Escócia
Grupo C,Brasil,79.1%,15.7%,5.2%,Haiti
Grupo C,Brasil,52.1%,25.5%,22.4%,Marrocos
Grupo C,Marrocos,45.9%,26.6%,27.5%,Escócia
Grupo C,Marrocos,69.7%,20.1%,10.2%,Haiti
Grupo C,Escócia,62.1%,22.9%,15.0%,Haiti
Grupo D,Turquia,40.3%,27.1%,32.6%,Estados Unidos
Grupo D,Turquia,42.8%,26.9%,30.2%,Austrália
Grupo D,Turquia,40.7%,27.1%,32.2%,Paraguai
Grupo D,Estados Unidos,38.9%,27.2%,33.9%,Austrália
Grupo D,Estados Unidos,36.9%,27.2%,35.9%,Paraguai
Grupo D,Paraguai,38.4%,27.2%,34.4%,Austrália
Grupo E,Alemanha,53.6%,25.2%,21.2%,Costa do Marfim
Grupo E,Alemanha,68.0%,20.8%,11.2%,Curaçau
Grupo E,Alemanha,42.9%,26.9%,30.2%,Equador
Grupo E,Equador,47.1%,26.4%,26.5%,Costa do Marfim
Grupo E,Equador,62.7%,22.7%,14.6%,Curaçau
Grupo E,Costa do Marfim,52.9%,25.4%,21.7%,Curaçau
Grupo F,Holanda,43.3%,26.9%,29.9%,Japão
Grupo F,Holanda,64.3%,22.2%,13.6%,Tunísia
Grupo F,Holanda,49.1%,26.1%,24.8%,Suécia
Grupo F,Japão,58.2%,24.1%,17.7%,Tunísia
Grupo F,Japão,42.2%,27.0%,30.8%,Suécia
Grupo F,Suécia,52.7%,25.4%,21.9%,Tunísia
Grupo G,Bélgica,60.6%,23.4%,16.1%,Egito
Grupo G,Bélgica,65.9%,21.6%,12.5%,Irã
Grupo G,Bélgica,71.1%,19.5%,9.4%,Nova Zelândia
Grupo G,Egito,42.7%,26.9%,30.4%,Irã
Grupo G,Egito,49.7%,26.0%,24.3%,Nova Zelândia
Grupo G,Irã,43.3%,26.9%,29.8%,Nova Zelândia
Grupo H,Espanha,69.4%,20.2%,10.4%,Arábia Saudita
Grupo H,Espanha,76.2%,17.2%,6.6%,Cabo Verde
Grupo H,Espanha,52.0%,25.6%,22.4%,Uruguai
Grupo H,Uruguai,56.2%,24.6%,19.2%,Arábia Saudita
Grupo H,Uruguai,65.5%,21.7%,12.8%,Cabo Verde
Grupo H,Arábia Saudita,47.0%,26.4%,26.6%,Cabo Verde
Grupo I,França,55.5%,24.8%,19.7%,Noruega
Grupo I,França,50.5%,25.8%,23.6%,Senegal
Grupo I,França,73.1%,18.6%,8.2%,Iraque
Grupo I,Senegal,41.5%,27.0%,31.5%,Noruega
Grupo I,Senegal,62.5%,22.8%,14.7%,Iraque
Grupo I,Noruega,57.9%,24.1%,17.9%,Iraque
Grupo J,Argentina,56.7%,24.5%,18.8%,Argélia
Grupo J,Argentina,55.9%,24.7%,19.4%,Áustria
Grupo J,Argentina,69.3%,20.3%,10.4%,Jordânia
Grupo J,Áustria,37.2%,27.2%,35.5%,Argélia
Grupo J,Áustria,52.2%,25.5%,22.3%,Jordânia
Grupo J,Argélia,51.3%,25.7%,23.0%,Jordânia
Grupo K,Portugal,43.4%,26.9%,29.7%,Colômbia
Grupo K,Portugal,66.4%,21.4%,12.2%,Uzbequistão
Grupo K,Portugal,54.7%,25.0%,20.3%,RD do Congo
Grupo K,Colômbia,60.5%,23.4%,16.1%,Uzbequistão
Grupo K,Colômbia,47.8%,26.3%,25.9%,RD do Congo
Grupo K,RD do Congo,49.7%,26.0%,24.3%,Uzbequistão
Grupo L,Inglaterra,54.1%,25.1%,20.8%,Croácia
Grupo L,Inglaterra,66.9%,21.2%,11.9%,Gana
Grupo L,Inglaterra,71.8%,19.2%,9.0%,Panamá
Grupo L,Croácia,51.0%,25.8%,23.2%,Gana
Grupo L,Croácia,57.4%,24.3%,18.3%,Panamá
Grupo L,Gana,43.1%,26.9%,30.0%,Panamá
